"Company 
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Broad Bean
Origin",Percent2
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,70%,Switzerland,3.25,Trinitario,Venezuela,70
Bisou,Belize,1486,2015,86%,U.S.A.,3.25,Trinitario,Belize,86
Bittersweet Origins,"Sambirano, 2009",565,2010,70%,U.S.A.,3,Trinitario,Madagascar,70
Bittersweet Origins,Sambirano,423,2009,75%,U.S.A.,3.25,Trinitario,Madagascar,75
Bittersweet Origins,Sambirano,431,2009,65%,U.S.A.,3.5,Trinitario,Madagascar,65
Bittersweet Origins,Sambirano,233,2008,71%,U.S.A.,3,Trinitario,Madagascar,71
Black Mountain,Carenero Superior,256,2008,70%,U.S.A.,2.75,Trinitario,Venezuela,70
Black River (A. Morin),Blue Mountain Region,1331,2014,70%,U.K.,2.75,Trinitario,Jamaica,70
Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82%,U.S.A.,3.5,Trinitario,Madagascar,82
Blue Bandana,Madagascar,911,2012,70%,U.S.A.,3.75,Trinitario,Madagascar,70
Bonnat,Cuba,629,2011,75%,France,3.5,Trinitario,Cuba,75
Bonnat,Jamaique,761,2011,75%,France,3.25,Trinitario,Jamaica,75
Bonnat,Trinite,24,2006,75%,France,3.75,Trinitario,Carribean,75
Bonnat,Madagascar,75,2006,75%,France,4,Trinitario,Madagascar,75
Bonnat,Chuao,81,2006,75%,France,4,Trinitario,Venezuela,75
Bowler Man,Maya Mountain,1267,2014,70%,U.S.A.,2.75,Trinitario,Belize,70
Brasstown aka It's Chocolate,Maya Mountain,1255,2014,70%,U.S.A.,3.75,Trinitario,Belize,70
Brasstown aka It's Chocolate,Chuao,1355,2014,70%,U.S.A.,4,Trinitario,Venezuela,70
Brasstown aka It's Chocolate,Cooproagro,1125,2013,72%,U.S.A.,3,Trinitario,Dominican Republic,72
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,2013,85%,U.S.A.,3.5,Trinitario,Venezuela,85
Brazen,Maya Mountain,1518,2015,80%,U.S.A.,3.25,Trinitario,Belize,80
Breeze Mill,Jamaica,1149,2013,70%,U.S.A.,3,Trinitario,Jamaica,70
Bright,Somia Plantation,1231,2014,72%,Australia,3,Trinitario,Madagascar,72
Bright,Gran Couva,1235,2014,68%,Australia,2.75,Trinitario,Trinidad,68
Burnt Fork Bend,Trinidad,1299,2014,72%,U.S.A.,3.25,Trinitario,Trinidad,72
Burnt Fork Bend,Belize,1303,2014,72%,U.S.A.,3.25,Trinitario,Belize,72
Cacao de Origen,Chuao,1688,2015,77%,Venezuela,3.5,Trinitario,Venezuela,77
Cacao de Origen,Rio Caribe,1692,2015,75%,Venezuela,3.25,Trinitario,Venezuela,75
Cacao de Origen,"Chuao, Aragua region",1391,2014,75%,Venezuela,3.5,Trinitario,Venezuela,75
Cacao de Origen,"Chuao, Aragua region",1395,2014,70%,Venezuela,3.75,Trinitario,Venezuela,70
Cacao Market,"Jutiapa, lot 050916D",1860,2016,70%,U.S.A.,3.5,Trinitario,Honduras,70
Cacao Sampaka,Madagascar,508,2010,71%,Spain,3.5,Trinitario,Madagascar,71
Cacao Sampaka,Grenada,537,2010,71%,Spain,3.25,Trinitario,Grenada,71
Cacao Store,Madagascar,1684,2015,70%,Japan,3,Trinitario,Madagascar,70
Cacao Store,Vietnam,1684,2015,70%,Japan,3.5,Trinitario,Vietnam,70
Callebaut,Grenade,296,2008,60%,Belgium,2.75,Trinitario,Grenada,60
C-Amaro,Trinidad,765,2011,70%,Italy,2.5,Trinitario,Trinidad,70
Cao,Brazil,1808,2016,70%,U.S.A.,3.25,Trinitario,Brazil,70
Captain Pembleton,"Saidor Estate, Madang P.",1263,2014,70%,New Zealand,3.5,Trinitario,Papua New Guinea,70
Carlotta Chocolat,Arauca,1884,2016,65%,Colombia,3,Trinitario,Colombia,65
Carlotta Chocolat,Tumaco,1888,2016,65%,Colombia,3.25,Trinitario,Colombia,65
Carlotta Chocolat,Cordoba,1888,2016,65%,Colombia,3.25,Trinitario,Colombia,65
Carlotta Chocolat,Huila,1888,2016,65%,Colombia,3.5,Trinitario,Colombia,65
Castronovo,"Maya Mtn, Batch 454, Heirloom",1724,2016,72%,U.S.A.,4,Trinitario,Belize,72
Castronovo,"the lost city, gracias a dias, batch 362",1570,2015,72%,U.S.A.,3.5,Trinitario,Honduras,72
Castronovo,Elvesia P.,1407,2014,70%,U.S.A.,2.75,Trinitario,Dominican Republic,70
Castronovo,Bolivia,1101,2013,70%,U.S.A.,3,Trinitario,Bolivia,70
Castronovo,Conacado,1101,2013,73%,U.S.A.,3.5,Trinitario,Dominican Republic,73
Castronovo,Nicaragua,1109,2013,72%,U.S.A.,3.25,Trinitario,Nicaragua,72
Choco Del Sol,Maya Mountain w/ nibs,1407,2014,75%,Germany,3,Trinitario,Belize,75
Choco Del Sol,Maya Mountain,1407,2014,82%,Germany,3.25,Trinitario,Belize,82
Choco Dong,"Mekong Delta, early 2014 Harvest",1696,2015,70%,South Korea,2.75,Trinitario,Vietnam,70
Choco Dong,"Tawau, Oct. 2015 Harvest",1696,2015,70%,South Korea,3.5,Trinitario,Malaysia,70
Chocola'te,Madagascar,647,2011,70%,U.S.A.,3.75,Trinitario,Madagascar,70
Chocolate Makers,Tres Hombres,1530,2015,75%,Amsterdam,3.25,Trinitario,Dominican Republic,75
"Chocolate Tree, The",Carenero Superior,1582,2015,80%,Scotland,3.75,Trinitario,Venezuela,80
Chocovic,Sambirano,478,2010,71%,Spain,3.5,Trinitario,Madagascar,71
Chocovic,Guyave,117,2007,71%,Spain,2.5,Trinitario,Grenada,71
Chocovivo,Tabasco,1522,2015,65%,U.S.A.,2.5,Trinitario,Mexico,65
Chocovivo,Tabasco,1522,2015,75%,U.S.A.,2.5,Trinitario,Mexico,75
Chuao Chocolatier (Pralus),Chuao,486,2010,77%,U.S.A.,2.75,Trinitario,Venezuela,77
Coleman & Davis,Sambirano,1646,2015,75%,U.S.A.,3,Trinitario,Madagascar,75
Compania de Chocolate (Salgado),Carenero Superior,292,2008,80%,Argentina,2.75,Trinitario,Venezuela,80
Confluence,"Tien Giang, 2015, batch 10-2-16",1916,2016,78%,U.S.A.,2.75,Trinitario,Vietnam,78
Coppeneur,Madagascar,959,2012,70%,Germany,3.5,Trinitario,Madagascar,70
Coppeneur,Grenada,470,2010,72%,Germany,3.25,Trinitario,Grenada,72
Coppeneur,Chuao,478,2010,70%,Germany,3,Trinitario,Venezuela,70
Coppeneur,Trinidad,558,2010,72%,Germany,3,Trinitario,Trinidad,72
Coppeneur,Jamaica,558,2010,72%,Germany,3.25,Trinitario,Jamaica,72
Coppeneur,"Sambirano, Menava P.",196,2007,72%,Germany,3,Trinitario,Madagascar,72
Cravve,"Vanuatu, batch 2410",1335,2014,83%,Australia,2.75,Trinitario,Vanuatu,83
Cravve,"Bahia, batch a1213",975,2012,65%,Australia,3.25,Trinitario,Brazil,65
Cravve,"Namau Village, N. Taileva P., batch a2812",975,2012,67%,Australia,3.25,Trinitario,Fiji,67
Cravve,Vanuatu,975,2012,64%,Australia,3.25,Trinitario,Vanuatu,64
Damson,Robson Estate,1610,2015,70%,U.K.,3,Trinitario,Trinidad,70
Dandelion,"Maya Mtn., Break Bar- Snark",1446,2015,70%,U.S.A.,3,Trinitario,Belize,70
Dandelion,Maya Mountain,1219,2014,70%,U.S.A.,3.5,Trinitario,Belize,70
Dandelion,Madagascar,654,2011,70%,U.S.A.,3.25,Trinitario,Madagascar,70
Danta,Chuao,987,2012,75%,Guatemala,3,Trinitario,Venezuela,75
Danta,Sambirano,987,2012,70%,Guatemala,3.75,Trinitario,Madagascar,70
DAR,Vietnam,1920,2016,72%,U.S.A.,3,Trinitario,Vietnam,72
Dark Forest,Madagascar,1550,2015,70%,U.S.A.,3,Trinitario,Madagascar,70
Dean and Deluca (Belcolade),Madagascar,170,2007,66%,U.S.A.,2.5,Trinitario,Madagascar,66
DeVries,Costa Rica,166,2007,77%,U.S.A.,3.5,Trinitario,Costa Rica,77
Dick Taylor,Tien Giang,1864,2016,78%,U.S.A.,3.5,Trinitario,Vietnam,78
Dick Taylor,Belize,955,2012,72%,U.S.A.,2.75,Trinitario,Belize,72
Dick Taylor,Sambirano,661,2011,80%,U.S.A.,2.75,Trinitario,Madagascar,80
Dick Taylor,Sambirano,661,2011,72%,U.S.A.,3,Trinitario,Madagascar,72
Doble & Bignall,"Puerto Cabello, Mantuano",1371,2014,72%,U.K.,3.25,Trinitario,Venezuela,72
Domori,"Chuao, Hacienda San Jose",470,2010,70%,Italy,3,Trinitario,Venezuela,70
Domori,"Carupano, H. San Jose",227,2008,70%,Italy,3,Trinitario,Venezuela,70
Domori,Granella,135,2007,60%,Italy,3.25,Trinitario,Venezuela,60
Domori,Madagascar,135,2007,70%,Italy,3.5,Trinitario,Madagascar,70
Domori,Sur del Lago Classificado,87,2006,70%,Italy,3,Trinitario,Venezuela,70
Domori,Apurimac,87,2006,70%,Italy,3.25,Trinitario,Peru,70
Domori,Carenero Superior,87,2006,70%,Italy,3.5,Trinitario,Venezuela,70
Dormouse,Non Pariel Estate,1880,2016,75%,U.K.,2.75,Trinitario,Grenada,75
Dormouse,"Rio Caribe, Batch 7",1672,2015,70%,U.K.,2.5,Trinitario,Venezuela,70
Durand,Madagascar,841,2012,82%,France,2.75,Trinitario,Madagascar,82
Durci,"Rio Caribe, Tepui Treasure",1626,2015,70%,U.S.A.,3.5,Trinitario,Venezuela,70
Durci,"Carenero, Empyrean Sabor",1630,2015,70%,U.S.A.,3.25,Trinitario,Venezuela,70
East Van Roasters,Madagascar,1343,2014,70%,Canada,3.5,Trinitario,Madagascar,70
El Rey,"Rio Caribe, Cariaco",439,2009,60.5%,Venezuela,2.75,Trinitario,Venezuela,60.5
El Rey,"Rio Caribe, Macuro",439,2009,70%,Venezuela,3,Trinitario,Venezuela,70
Erithaj (A. Morin),Ben Tre,1205,2014,70%,France,3.25,Trinitario,Vietnam,70
Erithaj (A. Morin),Ham Luong,1209,2014,80%,France,3,Trinitario,Vietnam,80
Erithaj (A. Morin),Ba Lai,1209,2014,74%,France,3.25,Trinitario,Vietnam,74
Escazu,Rio Caribe,903,2012,70%,U.S.A.,2.75,Trinitario,Venezuela,70
Ethel's Artisan (Mars),Trinidad,666,2011,55%,U.S.A.,2.5,Trinitario,Trinidad,55
Ethereal,Belize,1275,2014,80%,U.S.A.,3,Trinitario,Belize,80
Feitoria Cacao,Maya Mountain,1736,2016,76%,Portugal,2.75,Trinitario,Belize,76
Felchlin,Grenada,494,2010,58%,Switzerland,3.5,Trinitario,Grenada,58
Fossa,"Kokoa Kamili Coop, Kilombero",1776,2016,67%,Singapore,3.75,Trinitario,Tanzania,67
Frederic Blondeel,Vietnam,1542,2015,80%,Belgium,3,Trinitario,Vietnam,80
Frederic Blondeel,Madagascar,1351,2014,65%,Belgium,3.5,Trinitario,Madagascar,65
Fresco,"Bellavista Coop, #225, LR, MC, CG Exclusive",1149,2013,70%,U.S.A.,4,Trinitario,Peru,70
Fresco,"Sambirano Valley, #216, MR, LC",915,2012,74%,U.S.A.,4,Trinitario,Madagascar,74
Fresco,"Markham Valley, #220, MR, MC",927,2012,69%,U.S.A.,4,Trinitario,Papua New Guinea,69
Fresco,"Markham Valley, #222, LR, 0C",931,2012,69%,U.S.A.,3,Trinitario,Papua New Guinea,69
Fresco,"Jamaica, #209, DR, SC",642,2011,70%,U.S.A.,3.25,Trinitario,Jamaica,70
Fresco,"Jamaica, #210, DR, MC",642,2011,70%,U.S.A.,3.5,Trinitario,Jamaica,70
Fresco,"Sambirano Valley, #214, LR, MC",682,2011,74%,U.S.A.,2.75,Trinitario,Madagascar,74
Fresco,"Sambirano Valley, #215, MR, MC",688,2011,74%,U.S.A.,3,Trinitario,Madagascar,74
Fresco,"Chuao, #218, MR, MC",745,2011,76%,U.S.A.,3.25,Trinitario,Venezuela,76
Fresco,"Chuao, #217, DR, MC",745,2011,70%,U.S.A.,4,Trinitario,Venezuela,70
Fresco,"Jamaica, #204, DR, SC",370,2009,80%,U.S.A.,2.75,Trinitario,Jamaica,80
Fresco,"Jamaica, #206, DR, LC",370,2009,70%,U.S.A.,3,Trinitario,Jamaica,70
Fresco,"Jamaica, #205, DR, MC",370,2009,70%,U.S.A.,3.25,Trinitario,Jamaica,70
Fruition,Gran Couva,1347,2014,70%,U.S.A.,3.75,Trinitario,Trinidad,70
Fruition,Signature Blend,753,2011,66%,U.S.A.,3.25,Trinitario,Costa Rica,66
Georgia Ramon,Akesson P.,1642,2015,65%,Germany,3.25,Trinitario,Madagascar,65
Georgia Ramon,Conacado Coop,1646,2015,70%,Germany,3.5,Trinitario,Domincan Republic,70
Georgia Ramon,Conacado Coop,1646,2015,80%,Germany,3.5,Trinitario,Domincan Republic,80
Georgia Ramon,Akesson P.,1646,2015,75%,Germany,3.5,Trinitario,Madagascar,75
Grand Place,"Ben Tre, Dong Nai",741,2011,72%,Vietnam,3,Trinitario,Vietnam,72
Grenada Chocolate Co.,Grenada,494,2010,82%,Grenada,3.25,Trinitario,Grenada,82
Grenada Chocolate Co.,Grenada,363,2009,60%,Grenada,2.75,Trinitario,Grenada,60
Grenada Chocolate Co.,Grenada,241,2008,71%,Grenada,2.5,Trinitario,Grenada,71
Guittard,Jamaica,1053,2013,65%,U.S.A.,3.25,Trinitario,Jamaica,65
Guittard,Trinidad,552,2010,65%,U.S.A.,3,Trinitario,Trinidad,65
Guittard,Chucuri,15,2006,65%,U.S.A.,3,Trinitario,Colombia,65
Habitual,Trinitario,1197,2014,70%,Canada,3.5,Trinitario, ,70
Hacienda El Castillo,Don Homero- Cerecita Valley,1327,2014,55%,Ecuador,2.75,Trinitario,Ecuador,55
Hacienda El Castillo,Don Homero- Cerecita Valley,1327,2014,70%,Ecuador,3,Trinitario,Ecuador,70
hexx,Madagascar,1546,2015,74%,U.S.A.,3,Trinitario,Madagascar,74
Hogarth,Akesson's Estate,1712,2016,70%,New Zealand,2.75,Trinitario,Madagascar,70
Hogarth,Carenero Superior,1712,2016,72%,New Zealand,2.75,Trinitario,Venezuela,72
Hogarth,Conacado,1712,2016,75%,New Zealand,3.25,Trinitario,Domincan Republic,75
Holy Cacao,Sambirano,1466,2015,70%,Israel,3.5,Trinitario,Madagascar,70
Holy Cacao,Gran Couva,1466,2015,70%,Israel,3.5,Trinitario,Trinidad,70
Hotel Chocolat,"Marcial, single Cote, 2012",1030,2013,70%,U.K.,4,Trinitario,St. Lucia,70
Hotel Chocolat,"Island Growers, 2012, 120hr c.",1113,2013,100%,U.K.,1.75,Trinitario,St. Lucia,100
Hotel Chocolat (Coppeneur),Trinidad,1038,2013,75%,U.K.,3,Trinitario,Trinidad,75
Hotel Chocolat (Coppeneur),Mekong Delta & Dong Nai,1038,2013,80%,U.K.,3.5,Trinitario,Vietnam,80
Hotel Chocolat (Coppeneur),"Somia Plantation, Akesson, 2012",1065,2013,72%,U.K.,3,Trinitario,Madagascar,72
Hotel Chocolat (Coppeneur),"Island Growers, 120hr c.",623,2011,65%,U.K.,3,Trinitario,St. Lucia,65
Hotel Chocolat (Coppeneur),"Island Growers, 96hr c.",623,2011,65%,U.K.,3.25,Trinitario,St. Lucia,65
Hotel Chocolat (Coppeneur),Chuao,600,2010,70%,U.K.,2.75,Trinitario,Venezuela,70
Hummingbird,Lam Dong,1542,2015,70%,Canada,3.5,Trinitario,Vietnam,70
Hummingbird,Momotombo,1311,2014,70%,Canada,3,Trinitario,Nicaragua,70
Hummingbird,Hispaniola,1311,2014,70%,Canada,3.75,Trinitario,Dominican Republic,70
Idilio (Felchlin),"Chuao, Venezuela",1085,2013,72%,Switzerland,3.75,Trinitario,Venezuela,72
Idilio (Felchlin),"Carenero Superior, Urrutia, Barlovento",737,2011,70%,Switzerland,4,Trinitario,Venezuela,70
Isidro,Madagascar,1275,2014,72%,U.S.A.,3.5,Trinitario,Madagascar,72
Isidro,Belize,1279,2014,72%,U.S.A.,3.25,Trinitario,Belize,72
Izard,"Maya Mountain, Toledo, Batch 29",1542,2015,70%,U.S.A.,3.5,Trinitario,Belize,70
Jacque Torres,Trinatario Treasure,5,2006,71%,U.S.A.,2,Trinitario,Ghana,71
Jordis,Madagascar,1534,2015,63%,Czech Republic,2.75,Trinitario,Madagascar,63
Just Good Chocolate,Belize,1375,2014,70%,U.S.A.,3.5,Trinitario,Belize,70
Just Good Chocolate,Madagascar,1375,2014,70%,U.S.A.,3.5,Trinitario,Madagascar,70
Kakao,Vanuatu,387,2009,65%,Germany,3.75,Trinitario,Vanuatu,65
Kiskadee,"La Red, Guanconjeco",1251,2014,60%,U.S.A.,3,Trinitario,Dominican Republic,60
Kto,Belize,1422,2014,72%,U.S.A.,3,Trinitario,Belize,72
Kto,Sambirano Valley,1422,2014,72%,U.S.A.,3.25,Trinitario,Madagascar,72
Kto,Belize,1426,2014,90%,U.S.A.,3.25,Trinitario,Belize,90
Kyya,Madagascar,1363,2014,72.5%,U.S.A.,3,Trinitario,Madagascar,72.5
L.A. Burdick (Felchlin),Chuao,927,2012,68%,U.S.A.,3.75,Trinitario,Venezuela,68
L.A. Burdick (Felchlin),Grenada,576,2010,75%,U.S.A.,3.25,Trinitario,Grenada,75
L.A. Burdick (Felchlin),Madagascar,431,2009,64%,U.S.A.,3.5,Trinitario,Madagascar,64
La Maison du Chocolat (Valrhona),Grenada,741,2011,68%,France,3.5,Trinitario,Grenada,68
Laia aka Chat-Noir,"Madagascar, Batch 59/100",1590,2015,75%,France,2.75,Trinitario,Madagascar,75
Laia aka Chat-Noir,"Vietnam, Batch 50/100",1590,2015,75%,France,2.75,Trinitario,Vietnam,75
Laia aka Chat-Noir,"Lam Dong, Batch 153",1642,2015,75%,France,3.75,Trinitario,Vietnam,75
L'Amourette,Rugoso,1784,2016,80%,U.S.A.,3.5,Trinitario,Nicaragua,80
L'Amourette,Carenero Superior,833,2012,75%,U.S.A.,3,Trinitario,Venezuela,75
L'Amourette,Rio Caribe,833,2012,75%,U.S.A.,3,Trinitario,Venezuela,75
Letterpress,"San Juan Estate, Gran Couva",1562,2015,70%,U.S.A.,3.5,Trinitario,Trinidad,70
Lilla,Madagascar,1856,2016,70%,Finland,3,Trinitario,Madagascar,70
Madecasse (Cinagra),Madagascar,284,2008,67%,Madagascar,3.5,Trinitario,Madagascar,67
Madecasse (Cinagra),Madagascar,284,2008,70%,Madagascar,3.75,Trinitario,Madagascar,70
Madecasse (Cinagra),Madagascar,284,2008,63%,Madagascar,4,Trinitario,Madagascar,63
Madecasse (Cinagra),Madagascar,288,2008,75%,Madagascar,3.5,Trinitario,Madagascar,75
Malagasy (Chocolaterie Robert),Sambirano 2006,184,2007,75%,Madagascar,2.75,Trinitario,Madagascar,75
Malagasy (Chocolaterie Robert),Mora Mora 2006,184,2007,73%,Madagascar,3.5,Trinitario,Madagascar,73
Malagos,"Davao, Mt. Talamo foothills",1121,2013,65%,Philippines,3.5,Trinitario,Philippines,65
Map Chocolate,"Ben Tre, Surprise Valley",1896,2016,75%,U.S.A.,3.25,Trinitario,Vietnam,75
Map Chocolate,Ecuador,1478,2015,70%,U.S.A.,3.5,Trinitario,Ecuador,70
Map Chocolate,"San Juan Estate, Cherry Blossoms at Night",1606,2015,70%,U.S.A.,2.75,Trinitario,Trinidad,70
Marou,"Tan Phu Dong Island, Heart of Darkness",1650,2015,85%,Vietnam,3.25,Trinitario,Vietnam,85
Marou,Ben Tre,1650,2015,68%,Vietnam,3.5,Trinitario,Vietnam,68
Marou,"Dak Lak, Batch 2451",1650,2015,70%,Vietnam,3.75,Trinitario,Vietnam,70
Marou,"Tan Phu Dong, Treasure Island",1149,2013,75%,Vietnam,3.5,Trinitario,Vietnam,75
Marou,Ba Ria,845,2012,76%,Vietnam,3.5,Trinitario,Vietnam,76
Marou,Dong Nai,845,2012,72%,Vietnam,3.5,Trinitario,Vietnam,72
Marou,"Tien Giang, Gao Co-op",845,2012,70%,Vietnam,3.5,Trinitario,Vietnam,70
Marou,Ben Tre,849,2012,78%,Vietnam,3.5,Trinitario,Vietnam,78
Marou,Tien Giang,895,2012,80%,Vietnam,3,Trinitario,Vietnam,80
Marou,Lam Dong,955,2012,74%,Vietnam,3.5,Trinitario,Vietnam,74
Mast Brothers,Madagascar,999,2012,72%,U.S.A.,2.5,Trinitario,,72
Mast Brothers,Chuao,999,2012,73%,U.S.A.,2.75,Trinitario,Venezuela,73
Mast Brothers,"Chuao, Med. Roast",701,2011,76%,U.S.A.,3,Trinitario,Venezuela,76
Mast Brothers,"Chuao, Dark Roast",709,2011,70%,U.S.A.,3,Trinitario,Venezuela,70
Mast Brothers,"Chuao, Light Roast",713,2011,81%,U.S.A.,2.75,Trinitario,Venezuela,81
Mast Brothers,Moho River,773,2011,70%,U.S.A.,3.5,Trinitario,Belize,70
Matale,"Malekula P., 2013",1177,2013,72%,Australia,3.5,Trinitario,Vanuatu,72
Matale,"Somia, 2013",1177,2013,68%,Australia,4,Trinitario,Madagascar,68
Matale,"Kulili P., 2013",1177,2013,74%,Australia,4,Trinitario,Papua New Guinea,74
Matale,Blend,1181,2013,70%,Australia,3.75,Trinitario,"PNG, Vanuatu, Mad",70
Maverick,Maya Mountain,1367,2014,70%,U.S.A.,3.25,Trinitario,Belize,70
Meadowlands,Belize,1287,2014,70%,U.S.A.,3,Trinitario,Belize,70
Menakao (aka Cinagra),Madagascar,837,2012,80%,Madagascar,2.5,Trinitario,Madagascar,80
Menakao (aka Cinagra),Madagascar,841,2012,72%,Madagascar,2.5,Trinitario,Madagascar,72
Metiisto,Akesson Estate,1267,2014,72%,Sweden,3.5,Trinitario,Madagascar,72
Metropolitan,South America,1688,2015,70%,Amsterdam,3.5,Trinitario,South America,70
Michel Cluizel,"Carenero Superior, Concepcion",117,2007,66%,France,3.5,Trinitario,Venezuela,66
Michel Cluizel,Mangaro P.,24,2006,65%,France,4,Trinitario,Madagascar,65
Middlebury,Maya Mountain,1490,2015,80%,U.S.A.,3.5,Trinitario,Belize,80
Middlebury,San Juan Estate,1490,2015,70%,U.S.A.,3.5,Trinitario,Trinidad,70
Middlebury,Belize,1117,2013,80%,U.S.A.,3.25,Trinitario,Belize,80
Moho,"Toledo District, w/ nibs",1026,2013,73%,U.S.A.,3.25,Trinitario,Belize,73
Moho,Toledo District,1030,2013,72%,U.S.A.,3,Trinitario,Belize,72
Moho,"Umoho R., Toledo District, San Felipe",607,2010,67%,U.S.A.,2.75,Trinitario,Belize,67
Mutari,"Tien Giang, batch 1 SRB",1900,2016,80%,U.S.A.,3,Trinitario,Vietnam,80
Naive,Grenada,867,2012,71%,Lithuania,2.5,Trinitario,Grenada,71
Na�ve,Chuao,1399,2014,75%,Lithuania,2.75,Trinitario,Venezuela,75
Nathan Miller,Madagascar,1403,2014,73.5%,U.S.A.,2.5,Trinitario,Madagascar,73.5
Neuhaus (Callebaut),Manickchand Estate,230,2008,67%,Belgium,3.75,Trinitario,Trinidad,67
Nibble,Elvesia P.,1526,2015,72%,U.S.A.,2.75,Trinitario,Dominican Republic,72
Nibble,"Ambanja, Sambirano Valley",1526,2015,72%,U.S.A.,3,Trinitario,Madagascar,72
